Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:13.A1,"urn:cite:hmt:vaimg.VA175RN-0346@0.193,0.1097,0.618,0.0533",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msA.hmt:13.A2,"urn:cite:hmt:vaimg.VA175RN-0346@0.165,0.7415,0.634,0.0308",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msA.hmt:13.A3,"urn:cite:hmt:vaimg.VA175RN-0346@0.152,0.7611,0.652,0.0203",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msA.hmt:13.A4,"urn:cite:hmt:vaimg.VA175RN-0346@0.147,0.7678,0.66,0.0293",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msA.hmt:13.A5,"urn:cite:hmt:vaimg.VA175VN-0677@0.209,0.1262,0.725,0.0383",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msA.hmt:13.A6,"urn:cite:hmt:vaimg.VA175VN-0677@0.209,0.1443,0.725,0.0601",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msA.hmt:13.A7,"urn:cite:hmt:vaimg.VA175VN-0677@0.212,0.1916,0.729,0.0263",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msA.hmt:13.A8,"urn:cite:hmt:vaimg.VA175VN-0677@0.199,0.2089,0.307,0.0308",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msA.hmt:13.A9,"urn:cite:hmt:vaimg.VA175VN-0677@0.203,0.2314,0.307,0.0691",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msA.hmt:13.A10,"urn:cite:hmt:vaimg.VA175VN-0677@0.224,0.737,0.719,0.0406",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msA.hmt:13.A11,"urn:cite:hmt:vaimg.VA176RN-0347@0.598,0.2998,0.21,0.0511",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msA.hmt:13.A12,"urn:cite:hmt:vaimg.VA176RN-0347@0.61,0.3449,0.21,0.0421",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msA.hmt:13.A13,"urn:cite:hmt:vaimg.VA176RN-0347@0.607,0.3787,0.21,0.0391",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msA.hmt:13.A14,"urn:cite:hmt:vaimg.VA176RN-0347@0.603,0.417,0.2,0.0714",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msA.hmt:13.A15,"urn:cite:hmt:vaimg.VA176RN-0347@0.605,0.4793,0.2,0.0563",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msA.hmt:13.A16,"urn:cite:hmt:vaimg.VA176RN-0347@0.601,0.5267,0.2,0.0984",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msA.hmt:13.A16,"urn:cite:hmt:vaimg.VA176RN-0347@0.599,0.6168,0.2,0.0736",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msA.hmt:13.A17,"urn:cite:hmt:vaimg.VA176VN-0678@0.21,0.1127,0.721,0.0661",urn:cite:hmt:msA.176v
urn:cts:greekLit:tlg5026.msA.hmt:13.A18,"urn:cite:hmt:vaimg.VA176VN-0678@0.225,0.7273,0.483,0.0255",urn:cite:hmt:msA.176v
urn:cts:greekLit:tlg5026.msA.hmt:13.A19,"urn:cite:hmt:vaimg.VA176VN-0678@0.225,0.7235,0.721,0.0526",urn:cite:hmt:msA.176v
urn:cts:greekLit:tlg5026.msA.hmt:13.A20,"urn:cite:hmt:vaimg.VA176VN-0678@0.217,0.7671,0.721,0.0699",urn:cite:hmt:msA.176v
urn:cts:greekLit:tlg5026.msA.hmt:13.A21,"urn:cite:hmt:vaimg.VA177RN-0348@0.193,0.0962,0.626,0.0526",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msA.hmt:13.A22,"urn:cite:hmt:vaimg.VA177RN-0348@0.166,0.6987,0.653,0.0661",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msA.hmt:13.A23,"urn:cite:hmt:vaimg.VA177RN-0348@0.167,0.7506,0.653,0.021",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msA.hmt:13.A24,"urn:cite:hmt:vaimg.VA177RN-0348@0.167,0.7536,0.653,0.0316",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msA.hmt:13.A25,"urn:cite:hmt:vaimg.VA177RN-0348@0.599,0.4515,0.209,0.0503",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msA.hmt:13.A26,"urn:cite:hmt:vaimg.VA177RN-0348@0.595,0.4921,0.212,0.0609",urn:cite:hmt:msA.177r
