Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:13.A1,"urn:cite:hmt:vaimg.VA175RN-0346@0.584,0.3193,0.103,0.0255",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAim.hmt:13.A2,"urn:cite:hmt:vaimg.VA175RN-0346@0.599,0.3441,0.09,0.0255",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAim.hmt:13.A3,"urn:cite:hmt:vaimg.VA175RN-0346@0.595,0.3922,0.113,0.0346",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAim.hmt:13.A4,"urn:cite:hmt:vaimg.VA175RN-0346@0.58,0.5462,0.096,0.0406",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAim.hmt:13.A5,"urn:cite:hmt:vaimg.VA175RN-0346@0.571,0.7235,0.102,0.0263",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAim.hmt:13.A6,"urn:cite:hmt:vaimg.VA175VN-0677@0.426,0.3839,0.079,0.0601",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msAim.hmt:13.A7,"urn:cite:hmt:vaimg.VA175VN-0677@0.434,0.4786,0.072,0.0518",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msAim.hmt:13.A8,"urn:cite:hmt:vaimg.VA175VN-0677@0.444,0.6476,0.056,0.0376",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msAim.hmt:13.A9,"urn:cite:hmt:vaimg.VA176RN-0347@0.567,0.2231,0.094,0.0466",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msAim.hmt:13.A10,"urn:cite:hmt:vaimg.VA176RN-0347@0.565,0.426,0.06,0.0308",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msAim.hmt:13.A11,"urn:cite:hmt:vaimg.VA176RN-0347@0.557,0.4808,0.068,0.0376",urn:cite:hmt:msA.176r
